,empid,fname,lname,address,city,state,wphone,hphone,mphone,dob,ssn,degreeattained,degreeschool,schoolassignment,deviceassignment
1,1023,George,Wolf,07915 Moses Pike Vista,West Garyton,MD,+12025550137,+12025550124,+12025550105,1993-03-24,394-20-3684,associates,Jamie Simpson Community College,superintendant,1d3efa
1,1024,Amy,Phillips,2653 Andrea Forest Meadows,West Garyton,MD,+12025550124,+12025550105,+12025550188,1993-03-24,506-54-8115,bachelors,Amanda Allen College,1,88b093
1,1025,Debra,Wheeler,261 Carrie Points Gateway,West Garyton,MD,+12025550187,+12025550124,+12025550105,1993-03-24,670-52-6805,masters,Tammy Rogers University,1,8658fd
1,1026,Felicia,Gordon,20761 Sarah Squares Road,West Garyton,MD,+12025550187,+12025550137,+12025550191,1983-08-27,600-40-1128,bachelors,James Hunter College,1,541dd9
1,1027,Michael,Martin,51255 Ferrell Shores Spur,West Garyton,MD,+12025550105,+12025550191,+12025550124,1983-08-27,391-83-9664,bachelors,Pamela Figueroa University,1,a1a49b
1,1028,Jennifer,Bailey,5624 Kelly Flat Walks,West Garyton,MD,+12025550137,+12025550105,+12025550105,1983-08-27,558-43-9830,bachelors,Stephanie Bell University,1,5369ea
1,1029,Andrew,Garrison,59824 Williams Ports Ville,West Garyton,MD,+12025550137,+12025550187,+12025550105,1978-06-15,752-96-6237,bachelors,Derek Moyer College,1,68e180
1,1030,Leroy,Brown,92165 Kelly Point Summit,West Garyton,MD,+12025550187,+12025550191,+12025550105,1991-02-13,282-92-2567,bachelors,Susan Hanson University,1,11b286
1,1031,Teresa,Christensen,477 Cheryl Trafficway Parks,West Garyton,MD,+12025550137,+12025550188,+12025550124,1986-11-09,137-01-5829,bachelors,Christopher Alexander College,1,9d7285
1,1032,Thomas,Oneill,513 Rivas Drive Parkway,West Garyton,MD,+12025550124,+12025550187,+12025550105,1977-11-02,281-01-5268,masters,Clayton Mcgee University,1,569335
1,1033,Brandon,Bradley,34881 Harding Rest Drive,West Garyton,MD,+12025550188,+12025550191,+12025550137,1977-11-02,818-97-8554,masters,Jacob Heath University,1,2ab80e
1,1034,Jerry,Moore,04293 Mark Flat Spurs,West Garyton,MD,+12025550191,+12025550124,+12025550124,1984-09-28,516-97-2602,bachelors,Whitney Simon College,1,be6cb0
1,1035,Bonnie,Grimes,0335 Smith Spurs Estate,West Garyton,MD,+12025550188,+12025550105,+12025550124,1974-05-14,112-10-2807,bachelors,Carl Greene College,1,87dd46
1,1036,Nancy,Moore,29114 Ryan Squares Alley,West Garyton,MD,+12025550187,+12025550105,+12025550124,1988-04-01,070-15-1653,bachelors,Heather Lester University,1,d494aa
1,1037,Julie,Lang,27568 Simmons Villages Neck,West Garyton,MD,+12025550187,+12025550105,+12025550124,1977-08-22,521-16-5421,bachelors,Melissa Woodward University,1,4309e2
1,1038,Jean,Zavala,33504 Jeremy Crescent River,West Garyton,MD,+12025550191,+12025550105,+12025550187,1979-05-16,131-41-8049,bachelors,Julie Guzman University,1,6842f6
1,1039,Stacey,Torres,83027 Cross Locks Forge,West Garyton,MD,+12025550191,+12025550124,+12025550105,1989-07-05,889-79-1529,bachelors,Corey Smith College,1,be778e
1,1040,Deborah,Nicholson,11133 Rebecca Junction Shoals,West Garyton,MD,+12025550187,+12025550191,+12025550105,1979-03-16,577-03-8312,bachelors,Derek Hogan College,1,b496c8
