,stuid,fname,lname,address,city,state,hphone,dob,ssn,grade,schoolassignment,deviceassignment
311023,311023,Joanna,Robinson,605 Levy Meadows Station,West Garyton,MD,+12025550187,2009-02-26,062-53-5111,6,10,70a0bc
311024,311024,Kenneth,Joseph,574 Estrada Harbors Crossing,West Garyton,MD,+12025550124,2005-09-01,145-40-3341,9,56,fba5b6
311025,311025,Lynn,Young,200 Mitchell Stream Terrace,West Garyton,MD,+12025550124,2003-09-05,669-66-0368,11,53,93d71f
311026,311026,Joseph,Campbell,562 Joseph Lodge Points,West Garyton,MD,+12025550188,2014-01-14,376-01-0478,1,13,49dda9
311027,311027,Rachel,Morris,969 Baker Burg Mission,West Garyton,MD,+12025550188,2007-12-19,434-73-7752,7,11,2fa6ae
311028,311028,Kristin,Mclean,291 April Squares Passage,West Garyton,MD,+12025550191,2010-01-16,433-57-2991,5,10,5c12d0
311029,311029,Peter,Parks,736 Stacy Wall Stream,West Garyton,MD,+12025550188,2003-11-13,366-43-4327,11,105,74abaa
311030,311030,Cheyenne,Liu,81037 Leah Key Trail,West Garyton,MD,+12025550105,2007-03-29,376-40-1563,8,6,5b4e65
311031,311031,Amy,Weaver,4268 Cameron Club Creek,West Garyton,MD,+12025550187,2003-03-08,301-24-2248,12,94,6b4cad
311032,311032,Julie,Gonzalez,6109 Robinson Skyway Courts,West Garyton,MD,+12025550191,2008-08-26,370-97-0851,6,10,8b6ca1
311033,311033,Kelsey,Hernandez,809 Reynolds Route Curve,West Garyton,MD,+12025550124,2004-08-16,865-88-5297,10,107,4aec8c
311034,311034,Olivia,Dorsey,2107 Steven Ford Stravenue,West Garyton,MD,+12025550188,2004-07-26,292-81-2388,10,79,479e38
311035,311035,John,Craig,1888 Gordon Light Lodge,West Garyton,MD,+12025550191,2004-05-26,105-57-1776,10,87,3725fb
311036,311036,Amber,Davis,4900 John Tunnel Springs,West Garyton,MD,+12025550105,2003-06-24,865-62-5616,11,69,67f494
311037,311037,Jacob,Robbins,552 Teresa Extension Locks,West Garyton,MD,+12025550191,2004-11-07,564-09-7383,10,62,21437a
311038,311038,Heather,Hampton,9116 Adams Forest Fort,West Garyton,MD,+12025550124,2002-11-09,746-79-7544,12,107,f617ff
311039,311039,Melissa,Pham,667 Kimberly Road Dale,West Garyton,MD,+12025550105,2004-02-14,462-89-3406,11,103,cc9181
311040,311040,Jason,Aguilar,4509 Mitchell Stream Tunnel,West Garyton,MD,+12025550137,2006-10-23,035-99-0507,8,2,da4c56
311041,311041,Kristie,Webb,86993 Moore Branch Drive,West Garyton,MD,+12025550124,2005-08-26,329-43-6744,9,108,6a88cf
311042,311042,Nicole,Harper,714 Jason Rapid Walks,West Garyton,MD,+12025550188,2008-08-08,710-63-1613,6,8,3f490d
311043,311043,Lisa,Hawkins,366 Scott Fall Island,West Garyton,MD,+12025550137,2005-11-24,558-01-0652,9,59,db2a6c
311044,311044,Karen,Melton,912 Casey Route Valley,West Garyton,MD,+12025550188,2009-12-23,895-10-6915,5,1,b0e953
311045,311045,Nicole,Jackson,622 Janet Valley Mews,West Garyton,MD,+12025550187,2005-02-26,783-54-8901,10,105,40dd49
311046,311046,Olivia,Allen,71752 Smith Knolls Lock,West Garyton,MD,+12025550105,2010-01-25,174-97-5981,5,1,c7ad08
311047,311047,Emily,Reynolds,41754 Gilbert Branch Freeway,West Garyton,MD,+12025550124,2002-10-21,860-04-5863,12,88,b7b8bf
311048,311048,Tonya,Harper,368 Montes Villages Mountains,West Garyton,MD,+12025550191,2006-09-02,664-51-4700,8,12,565cd7
311049,311049,Natalie,White,6286 Johnson Rue Knolls,West Garyton,MD,+12025550137,2007-04-01,394-75-4508,8,4,182b80
311050,311050,Norma,Wilkinson,40751 Leonard Mill Roads,West Garyton,MD,+12025550191,2008-06-10,633-41-0834,6,7,dfb385
311051,311051,William,Foster,9959 Swanson Plain Mews,West Garyton,MD,+12025550137,2003-12-07,320-08-2954,11,107,77686a
311052,311052,Jennifer,Booker,6855 Katrina Dam Harbors,West Garyton,MD,+12025550137,2011-10-10,377-71-3658,3,6,ff113f
311053,311053,Karen,Jackson,46003 Sheri Ville Forges,West Garyton,MD,+12025550188,2002-11-01,774-90-7222,12,106,324582
311054,311054,Julie,King,61404 Victoria Glen Port,West Garyton,MD,+12025550124,2013-09-01,173-90-6229,1,9,e7ef4c
311055,311055,Nicholas,Johnson,8710 Turner Creek Inlet,West Garyton,MD,+12025550191,2011-08-28,382-58-7473,3,0,04e0bb
311056,311056,James,Gardner,0204 Hurst Light Flat,West Garyton,MD,+12025550124,2003-10-25,509-08-6264,11,55,c9fa53
311057,311057,Eugene,Boone,89556 Elizabeth Overpass Key,West Garyton,MD,+12025550124,2003-12-02,104-72-4681,11,63,49e54c
311058,311058,David,Harrell,15923 Micheal Camp Cliff,West Garyton,MD,+12025550124,2011-10-05,205-25-6618,3,11,8a792c
311059,311059,Michael,Howell,2523 Juarez Forges Avenue,West Garyton,MD,+12025550124,2003-06-18,176-01-3537,11,55,89270e
311060,311060,Isaiah,Cooper,63477 Erica Roads Shore,West Garyton,MD,+12025550105,2003-02-08,667-92-3455,12,68,179f59
311061,311061,Maxwell,Andersen,6978 Shawn Crossroad Divide,West Garyton,MD,+12025550191,2009-03-15,478-71-5891,6,15,321c96
311062,311062,Melissa,Hall,990 Jessica Light Grove,West Garyton,MD,+12025550137,2010-06-15,018-14-5185,4,3,a8fe5d
311063,311063,Jack,Carroll,8414 Eric Village Lodge,West Garyton,MD,+12025550187,2013-09-19,196-63-2007,1,1,6ab1eb
311064,311064,Mark,Coleman,45611 Douglas Crossing Fields,West Garyton,MD,+12025550188,2011-05-14,391-70-0640,3,6,033d72
311065,311065,Deborah,Matthews,8108 Miller Land Mews,West Garyton,MD,+12025550105,2006-05-19,214-05-1936,8,2,1de4b6
311066,311066,Charles,Gutierrez,087 Mckay Oval Greens,West Garyton,MD,+12025550105,2013-06-02,280-36-0956,1,14,4b69d2
311067,311067,Kristina,Bolton,829 Stone Passage Ridge,West Garyton,MD,+12025550137,2005-05-12,238-37-5910,9,83,25d99e
311068,311068,Jennifer,Rodriguez,081 Brandon Point Knoll,West Garyton,MD,+12025550105,2011-11-24,665-04-9803,3,12,d18421
311069,311069,Linda,Parker,7082 Garcia Streets Brooks,West Garyton,MD,+12025550191,2003-05-25,378-58-2114,11,74,80149d
311070,311070,Ashley,Bowen,52811 Michael Greens Crossroad,West Garyton,MD,+12025550188,2009-02-08,478-51-9438,6,8,962ec5
311071,311071,Scott,Thompson,94088 Barrett Courts Village,West Garyton,MD,+12025550191,2008-02-13,753-33-1878,7,3,88f11a
311072,311072,Mackenzie,Jones,6697 Jonathan Inlet Skyway,West Garyton,MD,+12025550188,2005-04-05,617-17-7287,10,114,43db14
311073,311073,Trevor,Schmidt,66803 Christopher Isle Glens,West Garyton,MD,+12025550188,2009-08-29,664-67-0288,5,10,cfc1b6
311074,311074,Jeremiah,Norman,234 Dana Pike Tunnel,West Garyton,MD,+12025550187,2002-07-27,329-49-4317,12,68,80f1f0
311075,311075,Carlos,Hansen,1887 Pugh Station Extensions,West Garyton,MD,+12025550191,2010-02-14,243-14-0692,5,14,e03c09
311076,311076,Elizabeth,Johnson,767 James Shoal Overpass,West Garyton,MD,+12025550124,2008-12-10,688-56-6956,6,10,161cc0
311077,311077,Matthew,Villegas,599 Rivera Hill Ridge,West Garyton,MD,+12025550191,2010-06-11,238-65-5573,4,12,ca176b
311078,311078,Michelle,Henry,02179 Martinez Streets Park,West Garyton,MD,+12025550137,2011-07-20,491-66-0416,3,8,a4a1e6
311079,311079,Emily,Lee,95611 Vanessa Valley Branch,West Garyton,MD,+12025550137,2014-03-17,622-48-3912,1,3,25c485
311080,311080,Jeffery,Porter,1380 Ramos Stream Way,West Garyton,MD,+12025550124,2002-11-01,543-48-2976,12,108,345086
311081,311081,Belinda,Dudley,2929 Betty Common Summit,West Garyton,MD,+12025550105,2013-05-23,747-53-2969,1,5,c48077
311082,311082,David,Cummings,5584 Walters Drive Pass,West Garyton,MD,+12025550188,2010-10-10,049-12-9118,4,5,3db327
311083,311083,Joseph,Ford,773 James Shoals Cliffs,West Garyton,MD,+12025550137,2005-09-16,147-48-8980,9,67,eabee7
311084,311084,Grant,Anderson,85546 Megan Parkway Flat,West Garyton,MD,+12025550137,2007-07-15,766-51-6753,7,11,2a485a
311085,311085,Karen,Stewart,1924 Newton Gardens Lake,West Garyton,MD,+12025550124,2004-08-07,569-48-3737,10,91,c79ba5
311086,311086,Adam,Kramer,012 Thompson Way Ports,West Garyton,MD,+12025550124,2007-06-13,822-98-5357,7,9,0bb10b
311087,311087,Mary,Smith,55006 Karen Mill Bridge,West Garyton,MD,+12025550124,2013-06-22,477-09-1074,1,4,ec4560
311088,311088,Kimberly,Baldwin,65239 Brown Rest Falls,West Garyton,MD,+12025550191,2002-11-19,360-85-1502,12,48,15e796
311089,311089,Michael,Sandoval,42621 Mills Brooks Union,West Garyton,MD,+12025550124,2011-07-02,826-12-8993,3,9,08c33a
311090,311090,Benjamin,Hernandez,6307 Brewer Mountains Forges,West Garyton,MD,+12025550105,2008-02-24,282-34-7050,7,9,02a60e
311091,311091,Pamela,Moran,19822 Sanchez Forge Run,West Garyton,MD,+12025550191,2004-01-10,889-23-1996,11,87,218f08
311092,311092,Michelle,Liu,020 Williams Forest Summit,West Garyton,MD,+12025550124,2008-03-13,741-02-4288,7,8,b1f2f4
311093,311093,Jennifer,Reed,754 Justin Roads Green,West Garyton,MD,+12025550188,2008-07-29,246-88-6761,6,5,1f4e46
311094,311094,Jennifer,Rivas,70050 Brent Mountains Inlet,West Garyton,MD,+12025550187,2013-09-12,676-80-3019,1,1,ee7c74
311095,311095,Amanda,King,3808 Donna Neck Roads,West Garyton,MD,+12025550105,2012-06-15,226-34-7512,2,5,0161c7
311096,311096,Anthony,Jimenez,0843 Lopez Villages Forges,West Garyton,MD,+12025550191,2011-04-23,534-35-7005,4,1,0a73a3
311097,311097,Joshua,Lane,1785 Allen Roads Pine,West Garyton,MD,+12025550191,2007-05-05,426-90-7176,7,4,3271ac
311098,311098,Alexander,Roberts,74404 Sarah Via Lodge,West Garyton,MD,+12025550137,2007-05-11,882-56-1200,7,13,0aa5f3
311099,311099,Jennifer,Ramsey,51547 Alexander Freeway Estate,West Garyton,MD,+12025550137,2012-03-08,624-06-9383,3,15,56a182
311100,311100,Theresa,Price,61783 Figueroa Ports Station,West Garyton,MD,+12025550187,2005-08-22,391-10-7961,9,99,de176e
311101,311101,Jessica,Harris,9947 Thompson Manor Stravenue,West Garyton,MD,+12025550187,2008-05-31,353-98-4971,6,0,f35d84
311102,311102,Amy,Valenzuela,0308 Scott Path Mission,West Garyton,MD,+12025550105,2009-12-24,711-48-6948,5,10,aa63a3
311103,311103,John,Lamb,376 Matthews Mountains Alley,West Garyton,MD,+12025550188,2005-10-09,269-98-2324,9,104,91b9e2
311104,311104,Kayla,Brown,5556 Brooke Wells Forest,West Garyton,MD,+12025550137,2007-12-04,021-59-2259,7,13,223a61
