,stuid,fname,lname,address,city,state,hphone,dob,ssn,grade,schoolassignment,deviceassignment
311023,311023,Nicholas,Burns,207 Tiffany Bypass Glens,West Garyton,MD,+12025550124,2006-11-18,087-19-0999,8,11,1629e5
311024,311024,Sandra,Davies,436 Horton Trail Motorway,West Garyton,MD,+12025550187,2005-07-27,218-30-4400,9,64,4956f6
311025,311025,Christina,Hancock,2887 Jamie Landing Ferry,West Garyton,MD,+12025550124,2003-01-03,559-91-5899,12,84,03a005
311026,311026,Charles,Morris,501 Thomas Fields Mill,West Garyton,MD,+12025550187,2013-05-13,171-85-8490,1,4,3841a4
311027,311027,Curtis,Jones,57855 Scott Burgs Vista,West Garyton,MD,+12025550105,2008-02-20,798-89-0266,7,5,acc674
311028,311028,Todd,Campbell,255 Cook Loop Junction,West Garyton,MD,+12025550191,2007-04-11,300-78-5495,8,7,922897
311029,311029,John,Fritz,3073 Stafford Knolls Bridge,West Garyton,MD,+12025550191,2007-04-24,382-54-0163,8,6,f31cca
311030,311030,Robert,Hill,77659 Miller Path Fords,West Garyton,MD,+12025550187,2006-10-26,088-77-5489,8,0,836716
311031,311031,Stephanie,Mason,639 Byrd Prairie Fort,West Garyton,MD,+12025550124,2006-04-08,668-11-7867,9,82,ce43ae
311032,311032,Brandi,Sawyer,3646 William Harbors Forest,West Garyton,MD,+12025550124,2005-01-05,398-30-2312,10,94,db76b1
311033,311033,Nathan,Jarvis,98946 Smith Heights Meadows,West Garyton,MD,+12025550191,2008-04-23,268-63-0517,7,13,33e879
311034,311034,James,Wright,45193 Cook Mission Trail,West Garyton,MD,+12025550105,2004-11-26,002-16-9157,10,75,2076a3
311035,311035,Douglas,Miranda,37519 Williams Turnpike Fords,West Garyton,MD,+12025550124,2005-05-06,532-54-4588,9,66,9032da
311036,311036,Michael,Campos,847 Jorge Union Common,West Garyton,MD,+12025550188,2005-08-22,591-82-4593,9,50,8b403a
311037,311037,Scott,Berry,112 Kelly Square View,West Garyton,MD,+12025550105,2008-06-04,642-83-3866,6,8,93a97f
311038,311038,Michael,Meyers,0737 Wong Prairie Parkways,West Garyton,MD,+12025550124,2007-03-13,014-68-0611,8,2,44bb26
311039,311039,Michael,Wolfe,81208 Cooper Course Cove,West Garyton,MD,+12025550124,2008-11-13,866-40-6661,6,12,3fb648
311040,311040,Cathy,Howard,8719 Edwards Ferry Lock,West Garyton,MD,+12025550137,2012-12-04,570-34-9250,2,9,dca702
311041,311041,Kurt,Phelps,7772 Sabrina Pine Hollow,West Garyton,MD,+12025550137,2003-08-24,165-84-3273,11,69,f782a0
